bar_height,central_price,ewma_price,ewma_deviation,forward_mid,position_bias,forward_high_order_price,forward_low_order_price,sell_rate,buy_rate,order_size,eemr_position,eemr_aep,eemr_reference_price,eemr_pnl,forward_high_pre_aep_adj,forward_low_pre_aep_adj,forward_ask_prices,forward_ask_sizes,forward_bid_prices,forward_bid_sizes
10.60000000000582,104262.05,104262.05,10.60000000000582,104262.05,-0.0,104762.05,103762.05,0.0,0.0,0.01,0,0,104262.05,0,104762.05,103762.05,[104762.05],[np.float64(0.01)],[103762.05],[np.float64(0.01)]
23.30000000000291,104275.2,104271.91249999999,20.125000000003638,104271.91249999999,-0.0,104771.91249999999,103771.91249999999,0.0,0.0,0.01,0,0,104271.91249999999,0,104771.91249999999,103771.91249999999,[104771.91249999999],[np.float64(0.01)],[103771.91249999999],[np.float64(0.01)]
11.30000000000291,104286.4,104282.77812499998,13.506250000003092,104282.77812499998,-0.0,104782.77812499998,103782.77812499998,0.0,0.0,0.01,0,0,104282.77812499998,0,104782.77812499998,103782.77812499998,[104782.77812499998],[np.float64(0.01)],[103782.77812499998],[np.float64(0.01)]
17.59999999999127,104273.2,104275.59453124998,16.576562499994225,104275.59453124998,-0.0,104775.59453124998,103775.59453124998,0.0,0.0,0.01,0,0,104275.59453124998,0,104775.59453124998,103775.59453124998,[104775.59453124998],[np.float64(0.01)],[103775.59453124998],[np.float64(0.01)]
13.0,104260.3,104264.1236328125,13.894140624998556,104264.1236328125,-0.0,104764.1236328125,103764.1236328125,0.0,0.0,0.01,0,0,104264.1236328125,0,104764.1236328125,103764.1236328125,[104764.1236328125],[np.float64(0.01)],[103764.1236328125],[np.float64(0.01)]
12.10000000000582,104272.2,104270.18090820312,12.548535156254005,104270.18090820312,-0.0,104770.18090820312,103770.18090820312,0.0,0.0,0.01,0,0,104270.18090820312,0,104770.18090820312,103770.18090820312,[104770.18090820312],[np.float64(0.01)],[103770.18090820312],[np.float64(0.01)]
16.10000000000582,104288.2,104283.69522705078,15.212133789067867,104283.69522705078,-0.0,104783.69522705078,103783.69522705078,0.0,0.0,0.01,0,0,104283.69522705078,0,104783.69522705078,103783.69522705078,[104783.69522705078],[np.float64(0.01)],[103783.69522705078],[np.float64(0.01)]
11.80000000000291,104299.9,104295.84880676269,12.653033447269149,104295.84880676269,-0.0,104795.84880676269,103795.84880676269,0.0,0.0,0.01,0,0,104295.84880676269,0,104795.84880676269,103795.84880676269,[104795.84880676269],[np.float64(0.01)],[103795.84880676269],[np.float64(0.01)]
18.30000000000291,104316.2,104311.11220169067,16.88825836181947,104311.11220169067,-0.0,104811.11220169067,103811.11220169067,0.0,0.0,0.01,0,0,104311.11220169067,0,104811.11220169067,103811.11220169067,[104811.11220169067],[np.float64(0.01)],[103811.11220169067],[np.float64(0.01)]
10.30000000000291,104326.4,104322.57805042266,11.94706459045705,104322.57805042266,-0.0,104822.57805042266,103822.57805042266,0.0,0.0,0.01,0,0,104322.57805042266,0,104822.57805042266,103822.57805042266,[104822.57805042266],[np.float64(0.01)],[103822.57805042266],[np.float64(0.01)]
12.69999999999709,104338.3,104334.36951260567,12.511766147612079,104334.36951260567,-0.0,104834.36951260567,103834.36951260567,0.0,0.0,0.01,0,0,104334.36951260567,0,104834.36951260567,103834.36951260567,[104834.36951260567],[np.float64(0.01)],[103834.36951260567],[np.float64(0.01)]
16.59999999999127,104326.4,104328.3923781514,15.577941536896471,104328.3923781514,-0.0,104828.3923781514,103828.3923781514,0.0,0.0,0.01,0,0,104328.3923781514,0,104828.3923781514,103828.3923781514,[104828.3923781514],[np.float64(0.01)],[103828.3923781514],[np.float64(0.01)]
10.39999999999418,104336.6,104334.54809453787,11.694485384219753,104334.54809453787,-0.0,104834.54809453787,103834.54809453787,0.0,0.0,0.01,0,0,104334.54809453787,0,104834.54809453787,103834.54809453787,[104834.54809453787],[np.float64(0.01)],[103834.54809453787],[np.float64(0.01)]
