2025-05-12 13:25:24.331339 [INF] [CB_RO#trend] TrendStrength=_trendStrength,_trendStrength.Ewma,_trendStrength.DoubleEwma,_trendStrength.DoubleEwmaSlope,BuildUpInProgress,ReductionInProgress,_buildUpStepSize,_reductionStepSize,PositionMultiplier,TargetPosition,SlopeSignCount,TrendStatus
2025-05-12 13:30:41.388655 [INF] [CB_RO#trend] TrendStrength=-1,-0.0069675976383188525,-2.1490748795776682E-05,-1.415007825909091E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:30:42.109441 [INF] [CB_RO#trend] TrendStrength=-1,-0.007464113839499639,-2.3723535722987594E-05,-1.5638739477129915E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:30:42.938817 [INF] [CB_RO#trend] TrendStrength=-1,-0.007960381782579833,-2.6104533197044384E-05,-1.7126207643682743E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:30:43.030180 [INF] [CB_RO#trend] TrendStrength=-1,-0.008456401591688489,-2.8633622314591536E-05,-1.8612483489891415E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:30:44.449352 [INF] [CB_RO#trend] TrendStrength=1,-0.0079521733908927,-3.101068424516471E-05,-1.979756774649204E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:30:45.488913 [INF] [CB_RO#trend] TrendStrength=1,-0.00744819730419731,-3.323584023115011E-05,-2.0681701143814924E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:30:45.709626 [INF] [CB_RO#trend] TrendStrength=1,-0.006944473205545267,-3.5309211440744115E-05,-2.1265124264784854E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:30:50.368803 [INF] [CB_RO#trend] TrendStrength=-1,-0.00744100096894244,-3.753091896799438E-05,-2.184807754500284E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:30:51.398816 [INF] [CB_RO#trend] TrendStrength=1,-0.006937280468458024,-3.960084383284116E-05,-2.2130561272828076E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:30:53.188816 [INF] [CB_RO#trend] TrendStrength=1,-0.00643381182822385,-4.151910712815825E-05,-2.211281573645949E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:30:55.068746 [INF] [CB_RO#trend] TrendStrength=-1,-0.0069305949223096835,-4.3585829872712484E-05,-2.2095081076935803E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:02.698953 [INF] [CB_RO#trend] TrendStrength=1,-0.0064271296248485845,-4.550089301120504E-05,-2.1777357288217443E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:03.609999 [INF] [CB_RO#trend] TrendStrength=1,-0.005923916060036216,-4.726441756131234E-05,-2.115988436426796E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:09.410835 [INF] [CB_RO#trend] TrendStrength=1,-0.005420954102006254,-4.887652446664565E-05,-2.024290215205411E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:14.908919 [INF] [CB_RO#trend] TrendStrength=-1,-0.005918243624955195,-5.063733459679202E-05,-1.9626650351627313E-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:18.038794 [INF] [CB_RO#trend] TrendStrength=1,-0.005415284503142773,-5.224672874735564E-05,-1.9010888516205533E-06,False,False,1,1,1,-0.01,-2,None
