2025-05-12 13:25:24.331339 [INF] [CB_RO#trend] TrendStrength=_trendStrength,_trendStrength.Ewma,_trendStrength.DoubleEwma,_trendStrength.DoubleEwmaSlope,BuildUpInProgress,ReductionInProgress,_buildUpStepSize,_reductionStepSize,PositionMultiplier,TargetPosition,SlopeSignCount,TrendStatus
2025-05-12 13:55:07.578242 [INF] [CB_RO#trend] TrendStrength=1,0.0029477696689965676,-0.0005202079293306923,1.4199847815032592E-06,False,False,1,1,1,0.01,2,None
2025-05-12 13:55:08.648564 [INF] [CB_RO#trend] TrendStrength=1,0.0034462957841620142,-0.0005190179782166447,1.3589278498636311E-06,False,False,1,1,1,0.01,2,None
2025-05-12 13:55:11.627876 [INF] [CB_RO#trend] TrendStrength=-1,0.0029445726362699884,-0.0005179789010322989,1.267919550771606E-06,False,False,1,1,1,0.01,2,None
2025-05-12 13:55:13.809595 [INF] [CB_RO#trend] TrendStrength=1,0.0034431003499517986,-0.0005167905772570039,1.206983854479672E-06,False,False,1,1,1,0.01,2,None
2025-05-12 13:55:15.987487 [INF] [CB_RO#trend] TrendStrength=-1,0.002941378799776878,-0.0005157531264438937,1.1460967165568366E-06,False,False,1,1,1,0.01,2,None
2025-05-12 13:55:16.898312 [INF] [CB_RO#trend] TrendStrength=-1,0.002439908110377045,-0.0005148664280728476,1.0852581072967626E-06,False,False,1,1,1,0.01,2,None
2025-05-12 13:55:17.467944 [INF] [CB_RO#trend] TrendStrength=-1,0.0019386881563219116,-0.0005141303616975291,1.0244679970096036E-06,False,False,1,1,1,0.01,2,None
2025-05-12 13:55:20.910486 [INF] [CB_RO#trend] TrendStrength=-1,0.0014377188122438058,-0.0005135448069453468,9.637263560219497E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:55:26.368027 [INF] [CB_RO#trend] TrendStrength=-1,0.000936999952837739,-0.000513109643517412,9.030331546768812E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:55:30.109076 [INF] [CB_RO#trend] TrendStrength=-1,0.00043653145286137534,-0.0005128247511884983,8.423883633339484E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:55:32.298322 [INF] [CB_RO#trend] TrendStrength=-1,-6.368681286500027E-05,-0.0005126900098070012,7.517919523691093E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:55:33.657684 [INF] [CB_RO#trend] TrendStrength=-1,-0.0005636549694585127,-0.0005127052992948967,6.312678921747993E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:55:37.597921 [INF] [CB_RO#trend] TrendStrength=-1,-0.0010633731419737284,-0.0005128704996477004,5.108401384598497E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:55:38.428229 [INF] [CB_RO#trend] TrendStrength=1,-0.0005628414554027968,-0.0005128854909344269,3.9050863225769186E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:55:42.067575 [INF] [CB_RO#trend] TrendStrength=1,-6.256003467515047E-05,-0.0005127503932975491,3.002733146344628E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:55:43.678012 [INF] [CB_RO#trend] TrendStrength=-1,-0.0005625287546577578,-0.0005127653268059572,2.1011012668903936E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:55:48.337893 [INF] [CB_RO#trend] TrendStrength=-1,-0.001062247490280374,-0.0005129301714549995,1.200190242529658E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:55:50.777234 [INF] [CB_RO#trend] TrendStrength=-1,-0.0015617163665351786,-0.0005132448073135235,2.999996318233267E-08,False,False,1,1,1,0.01,2,None
2025-05-12 13:55:53.301538 [INF] [CB_RO#trend] TrendStrength=1,-0.0010609355083519663,-0.000513409114523835,-2.9947100642303736E-08,False,True,1,1,0,0.00,0,Reduction
2025-05-12 13:55:53.947839 [INF] [CB_RO#trend] TrendStrength=1,-0.0005604050405978453,-0.0005134232133016573,-5.984621131590283E-08,False,False,1,1,0,0.00,-1,None
2025-05-12 13:56:00.098358 [INF] [CB_RO#trend] TrendStrength=1,-6.012483807760151E-05,-0.0005132872237890902,-5.972139820889598E-08,True,False,1,1,1,-0.01,-2,BuildUp
2025-05-12 13:56:01.238276 [INF] [CB_RO#trend] TrendStrength=-1,-0.0005600947756585076,-0.000513301266054651,-5.9596675975432614E-08,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:56:03.708716 [INF] [CB_RO#trend] TrendStrength=-1,-0.0010598147282706233,-0.0005134652200933158,-5.947204456154117E-08,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:56:06.758743 [INF] [CB_RO#trend] TrendStrength=1,-0.0005592848209065432,-0.0005134789659735598,-5.934750391328259E-08,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:56:06.810367 [INF] [CB_RO#trend] TrendStrength=1,-5.900517849614505E-05,-0.0005133426238373165,-5.922305397673949E-08,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:56:13.687834 [INF] [CB_RO#trend] TrendStrength=-1,-0.000558975675906842,-0.0005133563137529373,-5.9098694698016175E-08,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:56:16.268149 [INF] [CB_RO#trend] TrendStrength=-1,-0.0010586961880688335,-0.0005135199157152321,-5.897442602326034E-08,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:56:19.638030 [INF] [CB_RO#trend] TrendStrength=-1,-0.0015581668399747442,-0.0005138333097925099,-5.885024789864133E-08,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:56:22.947837 [INF] [CB_RO#trend] TrendStrength=1,-0.001057387756554812,-0.0005139963761265386,-5.872616027036105E-08,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:56:24.567963 [INF] [CB_RO#trend] TrendStrength=-1,-0.0015568590626764795,-0.0005143092349325036,-8.860216308462752E-08,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:56:27.417853 [INF] [CB_RO#trend] TrendStrength=1,-0.0010560806331451965,-0.0005144717663519673,-1.1845425628771071E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:56:29.417739 [INF] [CB_RO#trend] TrendStrength=1,-0.0005555525928286789,-0.0005144840905999103,-1.1828245452592898E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:56:30.529069 [INF] [CB_RO#trend] TrendStrength=1,-5.5274816532319636E-05,-0.00051434632781769,-8.81107724374228E-08,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:56:38.859943 [INF] [CB_RO#trend] TrendStrength=1,0.00044475282087589143,-0.0005140585980730819,-5.796320995221475E-08,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:56:41.358309 [INF] [CB_RO#trend] TrendStrength=1,0.0009445304444653984,-0.0005136210213603204,-2.783975230039211E-08,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:56:47.668617 [INF] [CB_RO#trend] TrendStrength=-1,0.00044405817924322074,-0.0005133337176001394,2.2596152797938093E-09,False,True,1,1,0,0.00,0,Reduction
2025-05-12 13:56:55.438064 [INF] [CB_RO#trend] TrendStrength=-1,-5.616384984634577E-05,-0.0005131965666398132,3.233490754188427E-08,False,False,1,1,0,0.00,1,None
2025-05-12 13:56:59.878112 [INF] [CB_RO#trend] TrendStrength=1,0.00044386423207852234,-0.0005129094484001977,9.238613923121929E-08,True,False,1,1,1,0.01,2,BuildUp
2025-05-12 13:57:01.948897 [INF] [CB_RO#trend] TrendStrength=-1,-5.635770003746185E-05,-0.0005127724828756889,1.223893250849764E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:57:04.018387 [INF] [CB_RO#trend] TrendStrength=-1,-0.0005563295211873881,-0.0005127855499871824,1.5236849453211832E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:57:24.497768 [INF] [CB_RO#trend] TrendStrength=-1,-0.0010560513564267394,-0.0005129485297291142,1.5232366228530582E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:57:28.287836 [INF] [CB_RO#trend] TrendStrength=1,-0.0005555233307485811,-0.0005129613021694201,1.5227884304902777E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:57:30.728060 [INF] [CB_RO#trend] TrendStrength=-1,-0.001055245569083152,-0.0005131239874494942,1.2223403681958096E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:57:32.979089 [INF] [CB_RO#trend] TrendStrength=-1,-0.0015547179462985553,-0.0005134364656371489,6.221324359330241E-08,False,False,1,1,1,0.01,2,None
2025-05-12 13:57:43.501642 [INF] [CB_RO#trend] TrendStrength=1,-0.0010539405873254612,-0.0005135986168736553,2.2404486665103356E-09,False,False,1,1,1,0.01,2,None
2025-05-12 13:57:49.737660 [INF] [CB_RO#trend] TrendStrength=1,-0.0005534136170318536,-0.0005136105613737028,-2.7684377356339795E-08,False,True,1,1,0,0.00,0,Reduction
2025-05-12 13:57:57.478341 [INF] [CB_RO#trend] TrendStrength=1,-5.313691022339271E-05,-0.0005134724192783578,-2.758526385445055E-08,False,False,1,1,0,0.00,-1,None
2025-05-12 13:58:01.058114 [INF] [CB_RO#trend] TrendStrength=-1,-0.0005531103417682259,-0.0005134843106551048,-5.7486225490705355E-08,True,False,1,1,1,-0.01,-2,BuildUp
2025-05-12 13:58:12.058358 [INF] [CB_RO#trend] TrendStrength=1,-5.283378659739688E-05,-0.0005133461154978874,-5.736326221985732E-08,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:58:16.088129 [INF] [CB_RO#trend] TrendStrength=1,0.0004471926302958468,-0.0005130579538741494,-2.7240388696700252E-08,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:58:29.109348 [INF] [CB_RO#trend] TrendStrength=1,0.0009469690339806438,-0.0005126199457777931,3.2858395132117756E-08,False,True,1,1,0,0.00,0,Reduction
2025-05-12 13:59:04.637296 [INF] [CB_RO#trend] TrendStrength=-1,0.00044649554946370857,-0.0005123322111292207,6.290910401993968E-08,False,False,1,1,0,0.00,1,None
2025-05-12 13:59:10.689066 [INF] [CB_RO#trend] TrendStrength=1,0.0009462723016889216,-0.0005118946297753752,1.2293576741189988E-07,True,False,1,1,1,0.01,2,BuildUp
2025-05-12 13:59:23.707916 [INF] [CB_RO#trend] TrendStrength=-1,0.00044579916553813233,-0.0005116073216367812,1.8291440003676863E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:59:36.027807 [INF] [CB_RO#trend] TrendStrength=1,0.0009455762659553082,-0.0005111701665605037,2.4284503131516334E-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:59:59.109887 [INF] [CB_RO#trend] TrendStrength=1,0.0014451034778222756,-0.000510583284467189,3.027276906513842E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:00.158179 [INF] [CB_RO#trend] TrendStrength=1,0.0019443809260833093,-0.0005098467952040238,3.6256240743339244E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:04.089153 [INF] [CB_RO#trend] TrendStrength=-1,0.0014434087356203229,-0.0005092608185447767,4.223492110328104E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:07.589907 [INF] [CB_RO#trend] TrendStrength=-1,0.0009426870312525678,-0.0005088252341898375,4.520881308049912E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:08.458260 [INF] [CB_RO#trend] TrendStrength=-1,0.0004422156877369966,-0.0005085399219132595,4.518031960889894E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:11.548609 [INF] [CB_RO#trend] TrendStrength=1,0.000941994579893073,-0.0005081047615627176,4.5151842150754516E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:12.747841 [INF] [CB_RO#trend] TrendStrength=1,0.0014415235826030714,-0.0005075198730594679,4.812338069752729E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:14.268128 [INF] [CB_RO#trend] TrendStrength=1,0.0019408028208117148,-0.0005067853762513066,5.109253524068595E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:16.089472 [INF] [CB_RO#trend] TrendStrength=1,0.002439832419401254,-0.000505901390912611,5.705930724170206E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:17.568615 [INF] [CB_RO#trend] TrendStrength=-1,0.0019386125031916088,-0.0005051680367443797,6.002129816123957E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:25.429671 [INF] [CB_RO#trend] TrendStrength=1,0.002437643196939958,-0.0005042851933742745,6.29809109291442E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:25.579136 [INF] [CB_RO#trend] TrendStrength=1,0.0029364243753414333,-0.00050325298050366,6.593814700363862E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:32.617591 [INF] [CB_RO#trend] TrendStrength=-1,0.002434956163153818,-0.0005023715177605629,6.889300784213774E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:35.238629 [INF] [CB_RO#trend] TrendStrength=-1,0.0019337386850722962,-0.0005016406846997132,7.184549490124332E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:36.238424 [INF] [CB_RO#trend] TrendStrength=-1,0.001432771815729815,-0.0005010603609495845,7.479560963675048E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:40.018355 [INF] [CB_RO#trend] TrendStrength=-1,0.0009320554298220052,-0.0005006304262123531,7.474335350364492E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:48.048261 [INF] [CB_RO#trend] TrendStrength=-1,0.00043158940210714935,-0.0005003507602638573,7.169112795610646E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:48.048277 [INF] [CB_RO#trend] TrendStrength=-1,-6.862639259384916E-05,-0.0005002212429535563,6.56413329775036E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:48.697660 [INF] [CB_RO#trend] TrendStrength=-1,-0.0005685920793974972,-0.0005002417542044895,5.659636708121537E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:49.587998 [INF] [CB_RO#trend] TrendStrength=-1,-0.0010683077833577434,-0.0005004121740132355,4.755862731144287E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:53.967681 [INF] [CB_RO#trend] TrendStrength=-1,-0.0015677736294660094,-0.0005007323824498713,3.5528109244032386E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:57.447474 [INF] [CB_RO#trend] TrendStrength=-1,-0.0020669897426512217,-0.0005012022596579316,2.0507208457283458E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:00:59.590361 [INF] [CB_RO#trend] TrendStrength=-1,-0.0025659562477798412,-0.0005018216858543681,5.4983190619472667E-08,False,False,1,1,1,0.01,2,None
2025-05-12 14:01:00.339810 [INF] [CB_RO#trend] TrendStrength=-1,-0.0030646732696558965,-0.0005025905413295085,-9.498566297952904E-08,False,True,1,1,0,0.00,0,Reduction
2025-05-12 14:01:01.214507 [INF] [CB_RO#trend] TrendStrength=-1,-0.0035631409330210135,-0.0005035087064470159,-2.448345497431392E-07,False,False,1,1,0,0.00,-1,None
2025-05-12 14:01:02.077817 [INF] [CB_RO#trend] TrendStrength=-1,-0.004061359362554449,-0.000504576061643848,-3.945635431494847E-07,True,False,1,1,1,-0.01,-2,BuildUp
2025-05-12 14:01:02.947752 [INF] [CB_RO#trend] TrendStrength=-1,-0.004559328682873117,-0.0005057924874302167,-5.441727166359371E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:01:08.167934 [INF] [CB_RO#trend] TrendStrength=1,-0.004057049018531736,-0.000506857864389547,-6.636621435990742E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:01:08.477903 [INF] [CB_RO#trend] TrendStrength=1,-0.003555020494022526,-0.0005077723131784368,-7.530558973947374E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:01:09.389039 [INF] [CB_RO#trend] TrendStrength=1,-0.00305324298377557,-0.0005085359543796159,-8.123780366380419E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:01:12.780791 [INF] [CB_RO#trend] TrendStrength=1,-0.0025517163622837376,-0.000509148908501987,-8.416526052115736E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:01:12.858628 [INF] [CB_RO#trend] TrendStrength=1,-0.002050440504102651,-0.0005096112959806672,-8.40903632273553E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:01:13.648374 [INF] [CB_RO#trend] TrendStrength=1,-0.0015494152838506545,-0.0005099232371770281,-8.101551322659992E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:01:18.478609 [INF] [CB_RO#trend] TrendStrength=-1,-0.0020486405762086745,-0.0005103848523787376,-7.794311049229112E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:01:21.327870 [INF] [CB_RO#trend] TrendStrength=-1,-0.002547616255920515,-0.0005109960217998,-7.487315352784174E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:01:24.668693 [INF] [CB_RO#trend] TrendStrength=-1,-0.0030463424477925,-0.0005117566257275977,-7.18056408374973E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:01:29.138195 [INF] [CB_RO#trend] TrendStrength=1,-0.0025448192765686593,-0.00051236654452285,-6.574057092633323E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:01:35.668663 [INF] [CB_RO#trend] TrendStrength=1,-0.00204354686693043,-0.0005128258986195723,-5.968034230025249E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:01:39.697997 [INF] [CB_RO#trend] TrendStrength=1,-0.00154252509349702,-0.0005131348083780355,-5.362495199598632E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:01:47.578193 [INF] [CB_RO#trend] TrendStrength=1,-0.0010417538309503266,-0.0005132933940848072,-4.757439705191293E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:01:50.927579 [INF] [CB_RO#trend] TrendStrength=1,-0.0005412329540349066,-0.0005133017759527922,-4.152867450805194E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:02:00.318913 [INF] [CB_RO#trend] TrendStrength=1,-4.0962337557944235E-05,-0.0005131600741212738,-3.548778140606665E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:02:02.419620 [INF] [CB_RO#trend] TrendStrength=1,0.00045905814361077966,-0.0005128684086559542,-2.9451714789260765E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:02:02.817847 [INF] [CB_RO#trend] TrendStrength=1,0.0009588286145389192,-0.0005124268995489958,-2.0420471702582103E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:02:06.178091 [INF] [CB_RO#trend] TrendStrength=1,0.0014583492002315946,-0.0005118356667190617,-8.396449192616404E-08,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:02:09.258544 [INF] [CB_RO#trend] TrendStrength=-1,0.000957620025631534,-0.0005113948300113566,3.6179571624109925E-08,False,True,1,1,0,0.00,0,Reduction
2025-05-12 14:02:09.388215 [INF] [CB_RO#trend] TrendStrength=-1,0.00045714121561877326,-0.0005111042691976677,1.262275325182279E-07,False,False,1,1,0,0.00,1,None
2025-05-12 14:02:12.847719 [INF] [CB_RO#trend] TrendStrength=1,0.0009569126450109088,-0.0005106638641234052,2.1620344961670964E-07,True,False,1,1,1,0.01,2,BuildUp
2025-05-12 14:02:16.367916 [INF] [CB_RO#trend] TrendStrength=-1,0.00045643418868845844,-0.0005103737347075617,2.761073670473797E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:02:19.877420 [INF] [CB_RO#trend] TrendStrength=1,0.0009562059715940592,-0.0005099337607956712,3.3596332891359544E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:02:26.178958 [INF] [CB_RO#trend] TrendStrength=-1,0.0004557278686083173,-0.0005096440623068501,3.657713645942155E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:02:27.328227 [INF] [CB_RO#trend] TrendStrength=-1,-4.449999532593179E-05,-0.0005095045190867558,3.6555550345179985E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:02:35.857955 [INF] [CB_RO#trend] TrendStrength=1,0.0004555222546716761,-0.0005092150110546283,3.6533976013259416E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:03:04.018318 [INF] [CB_RO#trend] TrendStrength=1,0.0009552944935442853,-0.0005087756582032487,3.6512413457471216E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:03:08.138495 [INF] [CB_RO#trend] TrendStrength=1,0.0014548168462974582,-0.0005081865804518986,3.6490862671631093E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:03:14.617952 [INF] [CB_RO#trend] TrendStrength=-1,0.0009540894378743646,-0.0005077478976464008,3.646932364955802E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:03:16.677893 [INF] [CB_RO#trend] TrendStrength=-1,0.0004536123931554825,-0.0005074594895591603,3.6447796385074207E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:03:17.619167 [INF] [CB_RO#trend] TrendStrength=-1,-4.661441304104017E-05,-0.0005073212360362048,3.3426280872003417E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:03:20.637931 [INF] [CB_RO#trend] TrendStrength=-1,-0.0005465911058344646,-0.0005073330169971443,3.040717710417408E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:03:23.638243 [INF] [CB_RO#trend] TrendStrength=-1,-0.0010463178102814922,-0.0005074947124351296,2.439048360541613E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:03:24.058593 [INF] [CB_RO#trend] TrendStrength=-1,-0.0015457946513762965,-0.0005078062024168119,1.8378598900381645E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:03:24.478274 [INF] [CB_RO#trend] TrendStrength=-1,-0.002045021754050553,-0.0005082673670823019,1.2371520044539068E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:03:27.377697 [INF] [CB_RO#trend] TrendStrength=1,-0.0015439992431735832,-0.0005085780866451292,6.369244094990741E-08,False,False,1,1,1,0.01,2,None
2025-05-12 14:03:32.128836 [INF] [CB_RO#trend] TrendStrength=1,-0.0010432272435520514,-0.0005087384813922013,3.7176811047397522E-09,False,False,1,1,1,0.01,2,None
2025-05-12 14:03:35.839295 [INF] [CB_RO#trend] TrendStrength=1,-0.0005427056299303304,-0.0005087486715367628,-5.620910848642188E-08,False,True,1,1,0,0.00,0,Reduction
2025-05-12 14:03:40.858044 [INF] [CB_RO#trend] TrendStrength=1,-4.2434277115420394E-05,-0.0005086087772184363,-8.608795720355284E-08,False,False,1,1,0,0.00,-1,None
2025-05-12 14:03:45.998241 [INF] [CB_RO#trend] TrendStrength=-1,-0.0005424130599768076,-0.0005086189185032639,-1.159428944103578E-07,True,False,1,1,1,-0.01,-2,BuildUp
2025-05-12 14:03:50.278093 [INF] [CB_RO#trend] TrendStrength=-1,-0.0010421418534467641,-0.000508778975383747,-1.4577393475421292E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:03:50.918074 [INF] [CB_RO#trend] TrendStrength=-1,-0.0015416207825199857,-0.0005090888279258878,-1.7558109287435204E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:03:51.777684 [INF] [CB_RO#trend] TrendStrength=-1,-0.002040849972128671,-0.0005095483562691486,-2.0536438340189919E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:03:53.258316 [INF] [CB_RO#trend] TrendStrength=1,-0.0015398295471426618,-0.0005098574406264106,-2.051238209598732E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:03:58.947712 [INF] [CB_RO#trend] TrendStrength=-1,-0.002039059632369036,-0.0005103162012839333,-2.0488342016314287E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:04:04.847797 [INF] [CB_RO#trend] TrendStrength=1,-0.0015380401025529063,-0.000510624518454314,-2.046431809184777E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:04:07.698396 [INF] [CB_RO#trend] TrendStrength=-1,-0.002037271082501575,-0.0005110825124235281,-2.3440310313268577E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:04:15.568032 [INF] [CB_RO#trend] TrendStrength=1,-0.0015362524469603794,-0.0005113900634038891,-2.6413918671263713E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:04:18.448372 [INF] [CB_RO#trend] TrendStrength=1,-0.0010354843207369543,-0.0005115472916810891,-2.938514462652781E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:04:24.539193 [INF] [CB_RO#trend] TrendStrength=-1,-0.0015349665785765309,-0.0005118543174671577,-3.2353989638938014E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:04:25.110952 [INF] [CB_RO#trend] TrendStrength=-1,-0.0020341990952871874,-0.0005123110209005037,-3.5320455167566977E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:04:29.517525 [INF] [CB_RO#trend] TrendStrength=1,-0.001533181995739599,-0.0005126172821929554,-3.528454267067577E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:04:32.400042 [INF] [CB_RO#trend] TrendStrength=1,-0.0010324154047417844,-0.00051277322162972,-3.224865360571417E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:04:43.568483 [INF] [CB_RO#trend] TrendStrength=-1,-0.0015318991970393585,-0.0005130789594223428,-3.221518795932187E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:04:51.438012 [INF] [CB_RO#trend] TrendStrength=1,-0.001031133247440894,-0.0005132343757087484,-2.9181744248150606E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:04:57.967557 [INF] [CB_RO#trend] TrendStrength=1,-0.0005306176808172287,-0.000513239590700281,-2.6150722459669957E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:05:02.610684 [INF] [CB_RO#trend] TrendStrength=1,-3.0352371976875175E-05,-0.000513094724534664,-2.0122121111358595E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:05:04.327984 [INF] [CB_RO#trend] TrendStrength=1,0.0004696628042090582,-0.0005127998972760409,-1.4098338721517346E-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:05:04.887700 [INF] [CB_RO#trend] TrendStrength=1,0.0009694279728068986,-0.0005123552289150161,-8.079372339269905E-08,False,False,1,1,1,-0.01,-2,None
2025-05-12 14:05:10.538011 [INF] [CB_RO#trend] TrendStrength=1,0.0014689432588204402,-0.0005117608393686955,9.347809846213354E-09,False,True,1,1,0,0.00,0,Reduction
2025-05-12 14:05:21.718184 [INF] [CB_RO#trend] TrendStrength=-1,0.0009682087871910852,-0.0005113168484807277,9.941724197759777E-08,False,False,1,1,0,0.00,1,None
2025-05-12 14:05:24.308754 [INF] [CB_RO#trend] TrendStrength=1,0.0014677246827974346,-0.0005107231360213443,1.8941461716110624E-07,True,False,1,1,1,0.01,2,BuildUp
2025-05-12 14:05:27.557925 [INF] [CB_RO#trend] TrendStrength=1,0.001966990820455981,-0.0005099798218344011,2.7933997953188787E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:05:51.878888 [INF] [CB_RO#trend] TrendStrength=-1,0.001466007325045808,-0.0005093870256903372,3.691933732005671E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:06:10.117590 [INF] [CB_RO#trend] TrendStrength=1,0.0019652743213832303,-0.0005086446272862151,4.589748422533305E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:06:14.457990 [INF] [CB_RO#trend] TrendStrength=-1,0.0014642916842225939,-0.0005080527463927625,5.186844307518445E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:06:14.698778 [INF] [CB_RO#trend] TrendStrength=-1,0.0009635595383805378,-0.0005076112627073305,5.483461827333457E-07,False,False,1,1,1,0.01,2,None
2025-05-12 14:06:19.898124 [INF] [CB_RO#trend] TrendStrength=-1,0.00046307775861140264,-0.0005073200560009349,5.479841275105968E-07,False,False,1,1,1,0.01,2,None
