timestamp,trend_strength_value,trend_strength_ewma,trend_strength_double_ewma,trend_strength_double_ewma_slope,buildup_in_progress,reduction_in_progress,buildup_step_size,reduction_step_size,position_multiplier,target_position,slope_sign_count,trend_status
2025-05-12 13:30:45.709,1,-0.006944473205545267,-3.5309211440744115e-05,-2.1265124264784854e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:30:50.368,-1,-0.00744100096894244,-3.753091896799438e-05,-2.184807754500284e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:30:51.398,1,-0.006937280468458024,-3.960084383284116e-05,-2.2130561272828076e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:30:53.188,1,-0.00643381182822385,-4.151910712815825e-05,-2.211281573645949e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:30:55.068,-1,-0.0069305949223096835,-4.3585829872712484e-05,-2.2095081076935803e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:02.698,1,-0.0064271296248485845,-4.550089301120504e-05,-2.1777357288217443e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:03.609,1,-0.005923916060036216,-4.726441756131234e-05,-2.115988436426796e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:09.410,1,-0.005420954102006254,-4.887652446664565e-05,-2.024290215205411e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:14.908,-1,-0.005918243624955195,-5.063733459679202e-05,-1.9626650351627313e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:18.038,1,-0.005415284503142773,-5.224672874735564e-05,-1.9010888516205533e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:21.758,-1,-0.0059125768608911475,-5.400482778699859e-05,-1.8695616346254472e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:26.438,1,-0.005409620572460757,-5.561151251040054e-05,-1.8080593542406158e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:27.408,1,-0.0049069157621745825,-5.706690378529963e-05,-1.7466059952458468e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:29.598,-1,-0.005404462304293441,-5.86711224054519e-05,-1.7152015277293647e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:30.648,1,-0.0049017600731413495,-6.012404909067251e-05,-1.6538219217960025e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:31.049,1,-0.004399309193104834,-6.14258046338766e-05,-1.5924911622671569e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:35.299,1,-0.003897109538508337,-6.257650975403882e-05,-1.5312092192726473e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:36.988,-1,-0.004395160983739028,-6.387628509623417e-05,-1.4999760629588525e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:43.538,-1,-0.004892963403247103,-6.532501123167929e-05,-1.4687676634887263e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:43.918,1,-0.004390516921545535,-6.66225688047733e-05,-1.4375840057417661e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:31:44.058,1,-0.0038883216630848172,-6.776907853305718e-05,-1.3764250746058593e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:01.668,1,-0.00338637750225333,-6.876466106017316e-05,-1.3153148549772622e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:03.058,1,-0.0028846843135022586,-6.96094369559057e-05,-1.2542533170606064e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:06.438,-1,-0.003383241971345453,-7.060352671622244e-05,-1.1932404310770538e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:10.528,-1,-0.0038815503503597253,-7.174681076331537e-05,-1.1622761672642863e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:10.818,-1,-0.004379609575184491,-7.303916959264158e-05,-1.1613364958764976e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:12.138,1,-0.0038774197703969537,-7.418048377288275e-05,-1.1603974018843936e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:13.489,-1,-0.0043754810605117,-7.547087394590425e-05,-1.1594588849670071e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:14.111,-1,-0.004873293319981389,-7.691022067971473e-05,-1.1585209448035445e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:15.728,1,-0.004370856673321454,-7.819840461550711e-05,-1.1575835810733812e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:17.229,1,-0.003868671244984849,-7.933554646761779e-05,-1.156646793456061e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:19.428,1,-0.0033667369093624117,-8.032176687648612e-05,-1.1557105816312957e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:20.898,1,-0.002865053540907786,-8.115718640869543e-05,-1.1547749452789735e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:21.249,1,-0.0023636210141373872,-8.184192555701396e-05,-1.1238398840791518e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:28.029,-1,-0.0028624392036302637,-8.267610474043584e-05,-1.0929293977120468e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:31.482,1,-0.0023610079840285037,-8.33596043042222e-05,-1.0320434711580613e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:33.589,1,-0.0018598274800365445,-8.389254466694183e-05,-9.712060894059074e-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:34.078,-1,-0.002358897566296471,-8.457504617343061e-05,-9.104172227526362e-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:34.129,-1,-0.0028577181175132678,-8.540698909483246e-05,-8.496768415117731e-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:34.798,-1,-0.0033562892584544563,-8.638825377564025e-05,-8.189849160133132e-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:35.318,-1,-0.003854611113825174,-8.751872063365499e-05,-8.183174166037196e-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:36.438,-1,-0.004352683808268207,-8.879827015994521e-05,-8.476503283459088e-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:36.859,1,-0.0038505074663641283,-8.992678291880634e-05,-8.769596510110916e-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:37.158,1,-0.0033485822126310015,-9.09043795477199e-05,-9.062453990705939e-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:38.638,-1,-0.003846907921524631,-9.203118061031285e-05,-9.355075869877012e-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:39.488,1,-0.003344984467563924,-9.300706659639882e-05,-9.647462292176624e-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:39.948,1,-0.002843311975330197,-9.383215806901887e-05,-9.939613402077044e-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:41.558,-1,-0.003341890319342477,-9.480657551740081e-05,-1.0231529343970204e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:52.268,1,-0.002840219374182861,-9.563019935700035e-05,-1.0223210262167894e-06,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:53.299,1,-0.002338799264495825,-9.630315007654194e-05,-9.91489630090169e-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:53.528,1,-0.001837629864863632,-9.6825548090978e-05,-9.306827457323007e-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:32:59.211,1,-0.0013367110499312553,-9.719751374153003e-05,-8.399243581584819e-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:33:00.088,1,-0.0008360426944063449,-9.741916729572944e-05,-7.492384376923101e-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:33:01.344,1,-0.0003356246730591968,-9.749062894745848e-05,-6.58624939973858e-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:33:03.689,1,0.0001645431392772777,-9.741201881699106e-05,-5.380838206678213e-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:33:04.728,1,0.000664460867707584,-9.718345695103371e-05,-4.176390354634896e-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:33:05.718,1,0.0011641286372736752,-9.680506332276633e-05,-2.9729052537474626e-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:33:06.218,1,0.0016635465729549833,-9.627695783188306e-05,-1.4703823144822484e-07,False,False,1,1,1,-0.01,-2,None
2025-05-12 13:33:07.173,1,0.002162714799668451,-9.559926030463304e-05,3.093905236731731e-09,False,True,1,1,0,0.0,0,Reduction
2025-05-12 13:33:07.579,1,0.0026616334422685617,-9.477209049386118e-05,1.5310595826807584e-07,False,False,1,1,0,0.0,1,None
2025-05-12 13:33:07.637,1,0.0031603026255473724,-9.379556807904891e-05,3.029980011929085e-07,True,False,1,1,1,0.01,2,BuildUp
2025-05-12 13:33:07.637,1,0.0036587224742345437,-9.266981266635495e-05,4.5277010751750787e-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:07.782,1,0.004156893112997372,-9.139494378865596e-05,6.02422350707348e-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:08.083,-1,0.0036548146664409286,-9.027108090558722e-05,7.219548041871257e-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:08.873,1,0.004152987259107653,-8.899810340358339e-05,8.413915413407676e-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:09.524,-1,0.003650910765478155,-8.787613074291898e-05,9.30732620811473e-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:09.662,-1,0.0031490853100954713,-8.690504231066757e-05,9.90002101209877e-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:10.312,1,0.0036475107674403687,-8.578471756774237e-05,1.0492240264140688e-06,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:10.642,-1,0.0031456870120567036,-8.481527604885514e-05,1.0783984255777896e-06,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:11.412,-1,0.0026441141685507306,-8.399659721547536e-05,1.077549327838582e-06,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:13.912,-1,0.0021427921114665106,-8.332856060287085e-05,1.0467007476178063e-06,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:14.432,-1,0.0016417207154108327,-8.281104582006679e-05,9.858766846288155e-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:14.692,-1,0.0011408998550531825,-8.244393254980486e-05,8.951011238851107e-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:16.223,-1,0.000640329405125711,-8.222710054850222e-05,8.043980357084999e-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:18.802,-1,0.00014000924042320323,-8.216042964621073e-05,6.837673757372663e-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:19.142,-1,-0.00036006076419695327,-8.224379974657595e-05,5.632330996343035e-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:22.022,1,0.0001401192661850901,-8.217709082679647e-05,4.7279514838711e-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:22.363,1,0.0006400492065519425,-8.196042293758287e-05,3.824294630159499e-07,False,False,1,1,1,0.01,2,None
2025-05-12 13:33:22.492,1,0.0011397291819486115,-8.159391605611706e-05,3.2213599927380815e-07,False,False,1,1,1,0.01,2,None
