timestamp,last_bbo_local_timestamp,bar_number,open,high,low,close,bar_numtick,last_trade_id,bar_counter,trades_volume,time_elapsed_ms,price_diff,raw_price_diff,is_price_bar,is_volume_bar,is_final_split_bar,last_sequence_id,fair_open,fair_high,fair_low,fair_close,ask_open,ask_high,ask_low,ask_close,bid_open,bid_high,bid_low,bid_close,trades_open,trades_high,trades_low,trades_close
2025-05-12 13:25:20.474813,1747041920474,1,104272.55,104272.55,104262.05,104262.05,30,1521724182,-1,95.2,402,-10.5,null,TRUE,FALSE,FALSE,230559634621,104272.55,104272.55,104262.05,104262.05,104272.6,104272.6,104262.1,104262.1,104272.5,104272.5,104262,104262,104272.5,104272.5,104262.3,104262.3
2025-05-12 13:25:59.930732,1747041959930,2,104262.05,104275.2,104252.1,104275.2,1260,1521724795,1,4211.29,39455,13.15,null,TRUE,FALSE,FALSE,230559706818,104262.05,104275.2,104252.1,104275.2,104262.1,104275.3,104252.1,104275.3,104262,104275.2,104252,104275.2,104262.3,104275.2,104252,104275.2
2025-05-12 13:26:01.128949,1747041961128,3,104275.2,104286.4,104275.2,104286.4,55,1521724852,2,89.73,1198,11.2,null,TRUE,FALSE,FALSE,230559715852,104275.2,104286.4,104275.2,104286.4,104275.3,104286.5,104275.3,104286.5,104275.2,104286.4,104275.2,104286.4,104275.2,104286,104275.2,104286
2025-05-12 13:26:10.278781,1747041970278,4,104286.4,104290.6,104273.2,104273.2,399,1521725078,-1,1663.24,9149,-13.2,null,TRUE,FALSE,FALSE,230559741236,104286.4,104290.6,104273.2,104273.2,104286.5,104290.7,104273.2,104273.2,104286.4,104290.6,104273.1,104273.1,104286,104290.7,104277.7,104278
2025-05-12 13:26:12.128933,1747041972128,5,104273.2,104273.2,104260.3,104260.3,101,1521725146,-2,159.42,1850,-12.9,null,TRUE,FALSE,FALSE,230559748979,104273.2,104273.2,104260.3,104260.3,104273.2,104273.2,104260.3,104260.3,104273.1,104273.1,104260.2,104260.2,104278,104278,104260.2,104260.3
2025-05-12 13:26:13.258488,1747041973258,6,104260.3,104272.2,104260.3,104272.2,70,1521725212,1,81.99,1129,11.9,null,TRUE,FALSE,FALSE,230559755712,104260.3,104272.2,104260.3,104272.2,104260.3,104272.3,104260.3,104272.3,104260.2,104272.2,104260.2,104272.2,104260.3,104270.3,104260.2,104270.3
2025-05-12 13:26:13.938766,1747041973938,7,104272.2,104288.2,104272.2,104288.2,47,1521725270,2,23.24,680,16,null,TRUE,FALSE,FALSE,230559762740,104272.2,104288.2,104272.2,104288.2,104272.3,104288.3,104272.3,104288.3,104272.2,104288.2,104272.2,104288.2,104270.3,104288,104270.3,104288
2025-05-12 13:26:23.038718,1747041983038,8,104288.2,104299.9,104288.2,104299.9,306,1521725424,3,593.07,9099,11.7,null,TRUE,FALSE,FALSE,230559780816,104288.2,104299.9,104288.2,104299.9,104288.3,104300,104288.3,104300,104288.2,104299.9,104288.2,104299.9,104288,104299.6,104288,104299.6
2025-05-12 13:26:31.529367,1747041991529,9,104299.9,104316.2,104299.9,104316.2,308,1521725648,4,713.83,8490,16.3,null,TRUE,FALSE,FALSE,230559800216,104299.9,104316.2,104299.9,104316.2,104300,104318.2,104300,104318.2,104299.9,104316.2,104299.9,104316.2,104299.6,104315.2,104299.6,104315.2
2025-05-12 13:26:41.929142,1747042001929,10,104316.2,104326.4,104316.2,104326.4,388,1521726221,5,2566.2,10399,10.2,null,TRUE,FALSE,FALSE,230559822804,104316.2,104326.4,104316.2,104326.4,104318.2,104326.5,104318.2,104326.5,104316.2,104326.4,104316.2,104326.4,104315.2,104324.2,104314.3,104324.2
