trend_strength_value,trend_strength_ewma,trend_strength_double_ewma,trend_strength_double_ewma_slope,buildup_in_progress,reduction_in_progress,buildup_step_size,reduction_step_size,position_multiplier,target_position,slope_sign_count,trend_status
1,-0.005409620572460757,-5.561151251040054E-05,-1.8080593542406158E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0049069157621745825,-5.706690378529963E-05,-1.7466059952458468E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.005404462304293441,-5.86711224054519E-05,-1.7152015277293647E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0049017600731413495,-6.012404909067251E-05,-1.6538219217960025E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.004399309193104834,-6.14258046338766E-05,-1.5924911622671569E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.003897109538508337,-6.257650975403882E-05,-1.5312092192726473E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.004395160983739028,-6.387628509623417E-05,-1.4999760629588525E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.004892963403247103,-6.532501123167929E-05,-1.4687676634887263E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.004390516921545535,-6.66225688047733E-05,-1.4375840057417661E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0038883216630848172,-6.776907853305718E-05,-1.3764250746058593E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.00338637750225333,-6.876466106017316E-05,-1.3153148549772622E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0028846843135022586,-6.96094369559057E-05,-1.2542533170606064E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.003383241971345453,-7.060352671622244E-05,-1.1932404310770538E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0038815503503597253,-7.174681076331537E-05,-1.1622761672642863E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.004379609575184491,-7.303916959264158E-05,-1.1613364958764976E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.0038774197703969537,-7.418048377288275E-05,-1.1603974018843936E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.0043754810605117,-7.547087394590425E-05,-1.1594588849670071E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
-1,-0.004873293319981389,-7.691022067971473E-05,-1.1585209448035445E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.004370856673321454,-7.819840461550711E-05,-1.1575835810733812E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
1,-0.003868671244984849,-7.933554646761779E-05,-1.156646793456061E-06,FALSE,FALSE,1,1,1,-0.01,-2,None
