timestamp,last_bbo_local_timestamp,bar_number,bar_numtick,last_trade_id,bar_counter,trades_volume,time_elapsed_ms,price_diff,raw_price_diff,is_price_bar,is_volume_bar,is_final_split_bar,last_sequence_id,open,high,low,close,fair_open,fair_high,fair_low,fair_close,ask_open,ask_high,ask_low,ask_close,bid_open,bid_high,bid_low,bid_close,trades_open,trades_high,trades_low,trades_close
2025-05-12 13:25:24.329558,1747041924329,1,167,1521724249,-1,144.99,4261,-20.0,-20.5,True,False,True,230559645064,104272.55,104272.55,104252.55,104252.55,104272.55,104272.55,104252.05,104252.05,104272.6,104272.6,104252.1,104252.1,104272.5,104272.5,104252.0,104252.0,104272.6,104272.6,104252.1,104252.1
2025-05-12 13:25:59.918677,1747041959918,2,1123,1521724795,1,4164.51,35584,20.0,22.65,True,False,True,230559706818,104252.55,104272.55,104252.05,104272.55,104252.55,104275.2,104252.05,104275.2,104252.1,104275.3,104252.1,104275.3,104252.0,104275.2,104252.0,104275.2,104252.1,104275.2,104252.0,104275.2
2025-05-12 13:26:23.029208,1747041983029,3,972,1521725402,2,2511.29,23098,20.0,23.85,True,False,True,230559778335,104272.55,104292.55,104260.3,104292.55,104272.55,104296.4,104260.3,104296.4,104275.3,104297.5,104260.3,104297.5,104275.2,104296.4,104260.2,104296.4,104275.2,104293.9,104260.2,104293.9
2025-05-12 13:26:31.528930,1747041991528,4,309,1521725648,3,813.23,8490,20.0,23.65,True,False,True,230559800216,104292.55,104312.55,104292.55,104312.55,104292.55,104316.2,104292.55,104316.2,104297.5,104318.2,104297.5,104318.2,104296.4,104316.2,104296.4,104316.2,104293.9,104315.2,104293.9,104315.2
2025-05-12 13:26:57.269595,1747042017269,5,965,1521726721,4,4308.84,25740,20.0,25.75,True,False,True,230559854813,104312.55,104332.55,104312.55,104332.55,104312.55,104338.3,104312.55,104338.3,104318.2,104338.4,104318.2,104338.4,104316.2,104338.3,104316.2,104338.3,104315.2,104331.8,104314.3,104331.8
2025-05-12 13:27:56.768639,1747042076768,6,2445,1521728231,-1,5873.65,59498,-20.0,-20.05,True,False,True,230559981759,104332.55,104342.8,104312.55,104312.55,104332.55,104342.8,104312.5,104312.5,104338.4,104342.9,104312.5,104312.5,104338.3,104342.8,104312.4,104312.4,104331.8,104342.9,104313.2,104313.2
2025-05-12 13:28:01.018871,1747042081018,7,210,1521728323,-2,267.45,4249,-20.0,-20.05,True,False,True,230559996803,104312.55,104312.55,104292.55,104292.55,104312.55,104312.55,104292.5,104292.5,104312.5,104312.5,104292.5,104292.5,104312.4,104312.4,104292.4,104292.4,104313.2,104313.2,104300.0,104300.0
2025-05-12 13:28:40.688749,1747042120688,8,1337,1521728836,-3,2503.3,39669,-20.0,-20.85,True,False,True,230560066007,104292.55,104292.55,104272.55,104272.55,104292.55,104292.55,104271.7,104271.7,104292.5,104292.5,104271.7,104271.7,104292.4,104292.4,104271.6,104271.6,104300.0,104300.0,104271.6,104271.6
2025-05-12 13:28:53.708720,1747042133708,9,407,1521729018,-4,569.88,13019,-20.0,-20.65,True,False,True,230560093343,104272.55,104272.55,104252.55,104252.55,104272.55,104272.55,104251.9,104251.9,104271.7,104271.7,104251.9,104251.9,104271.6,104271.6,104251.8,104251.8,104271.6,104271.6,104252.0,104252.0
2025-05-12 13:29:06.299012,1747042146299,10,541,1521729352,-5,1051.9,12589,-20.0,-23.35,True,False,True,230560137284,104252.55,104252.55,104232.55,104232.55,104252.55,104252.55,104229.2,104229.2,104251.9,104251.9,104229.2,104229.2,104251.8,104251.8,104229.1,104229.1,104252.0,104252.0,104229.0,104229.1
