timestamp,last_bbo_local_timestamp,bar_number,open,high,low,close,bar_numtick,last_trade_id,bar_counter,trades_volume,time_elapsed_ms,price_diff,raw_price_diff,is_price_bar,is_volume_bar,is_final_split_bar,last_sequence_id,fair_open,fair_high,fair_low,fair_close,ask_open,ask_high,ask_low,ask_close,bid_open,bid_high,bid_low,bid_close,trades_open,trades_high,trades_low,trades_close
2025-05-12 13:25:24.329558,1747041924329,1,,,,,167,1521724249,-1,144.99,4261,-20.0,-20.5,True,False,True,230559645064,,,,,,,,,,,,,,,,
2025-05-12 13:25:59.918677,1747041959918,2,,,,,1123,1521724795,1,4164.51,35584,20.0,22.65,True,False,True,230559706818,,,,,,,,,,,,,,,,
2025-05-12 13:26:23.029208,1747041983029,3,,,,,972,1521725402,2,2511.29,23098,20.0,23.85,True,False,True,230559778335,,,,,,,,,,,,,,,,
2025-05-12 13:26:31.528930,1747041991528,4,,,,,309,1521725648,3,813.23,8490,20.0,23.65,True,False,True,230559800216,,,,,,,,,,,,,,,,
2025-05-12 13:26:57.269595,1747042017269,5,,,,,965,1521726721,4,4308.84,25740,20.0,25.75,True,False,True,230559854813,,,,,,,,,,,,,,,,
2025-05-12 13:27:56.768639,1747042076768,6,,,,,2445,1521728231,-1,5873.65,59498,-20.0,-20.05,True,False,True,230559981759,,,,,,,,,,,,,,,,
2025-05-12 13:28:01.018871,1747042081018,7,,,,,210,1521728323,-2,267.45,4249,-20.0,-20.05,True,False,True,230559996803,,,,,,,,,,,,,,,,
2025-05-12 13:28:40.688749,1747042120688,8,,,,,1337,1521728836,-3,2503.3,39669,-20.0,-20.85,True,False,True,230560066007,,,,,,,,,,,,,,,,
2025-05-12 13:28:53.708720,1747042133708,9,,,,,407,1521729018,-4,569.88,13019,-20.0,-20.65,True,False,True,230560093343,,,,,,,,,,,,,,,,
2025-05-12 13:29:06.299012,1747042146299,10,,,,,541,1521729352,-5,1051.9,12589,-20.0,-23.35,True,False,True,230560137284,,,,,,,,,,,,,,,,
2025-05-12 13:29:21.049105,1747042161049,11,,,,,535,1521729575,-6,869.58,14749,-20.0,-22.45,True,False,True,230560169588,,,,,,,,,,,,,,,,
2025-05-12 13:29:23.878541,1747042163878,12,,,,,165,1521729809,-7,1967.59,2829,-20.0,-20.35,True,False,True,230560189721,,,,,,,,,,,,,,,,
2025-05-12 13:29:27.779304,1747042167779,13,,,,,217,1521730003,-8,436.79,3900,-20.0,-26.55,True,False,True,230560208367,,,,,,,,,,,,,,,,
2025-05-12 13:29:33.049944,1747042173049,14,,,,,269,1521730302,-9,1487.58,5270,-20.0,-21.45,True,False,True,230560230738,,,,,,,,,,,,,,,,
